country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
argentina,13310.62368,12398.28358,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12712.97074,11344.40574,12390.80869
australia,53338.60278,53225.95104,53542.83372,54108.11106,55254.60621,55723.94823,56305.97909,56707.02208,57358.7828,57695.57126,58447.25265,58781.04666,58029.51553,58780.33306
brazil,8258.615884,8169.26242,8702.255331,8965.620557,9056.580438,9247.573381,9214.977244,8813.989806,8455.312342,8498.293906,8582.338637,8622.066599,8228.774263,8551.205336
canada,42063.63305,40368.29204,41155.32364,42036.99784,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.48834,44917.48373,45109.24449,42258.69102,43945.55699
china,4711.635127,5128.895068,5647.058752,6152.686005,6591.650851,7056.410627,7532.771996,8016.431435,8516.513699,9053.212733,9619.192484,10155.49294,10358.25945,11188.30254
france,36357.32251,35131.44914,35639.80406,36245.54279,36183.48799,36205.16782,36378.61866,36652.92231,36956.7958,37694.0833,38291.86578,38912.33126,35785.96701,38210.21821
germany,38278.31301,36190.39289,37760.91363,39977.34171,40069.35396,40135.01583,40851.16173,41103.25644,41682.03224,42639.55441,42973.28996,43329.05069,41315.31357,42526.55369
india,1093.076551,1162.498808,1244.366016,1292.821206,1346.67591,1415.828722,1503.421507,1605.605445,1719.318076,1816.730876,1914.012397,1965.53933,1817.815782,1961.421031
indonesia,2513.671592,2595.298759,2720.191622,2849.354985,2980.61011,3104.348,3217.317468,3331.695115,3456.928114,3589.715543,3732.867111,3877.424622,3757.121641,3855.79706
italy,33530.36014,31615.27081,32058.17399,32229.45679,31184.55843,30257.62743,29979.91872,30242.38614,30685.6459,31244.2271,31593.48026,32119.74441,29358.12943,31511.79487
japan,33557.6454,31651.08377,32942.20208,33011.13423,33518.44494,34239.88625,34386.90586,34960.63938,35242.19938,35861.97285,36117.22769,36081.06531,34556.43993,35278.42051
korea,23882.7305,23948.47224,25451.00416,26186.89754,26675.44017,27394.65031,28094.9177,28732.23108,29461.78401,30307.39524,31053.63793,31640.21463,31327.4094,32644.67144
mexico,9181.399967,8568.618149,8878.561377,9076.301453,9280.258638,9282.991933,9426.324588,9616.645558,9751.569083,9842.400712,9945.776845,9819.532914,8922.612472,9255.213821
russia,9093.692383,8381.861328,8755.113281,9124.467773,9475.682617,9621.509766,9520.94043,9313.013672,9313.967773,9473.179688,9739.900391,9958.460938,9711.417969,10219.75098
saudi.arabia,19117.92878,18202.69262,18568.36319,19813.25515,20249.7964,20175.55505,20327.67281,20627.92178,20503.38462,19946.95296,20083.45982,19817.81071,18700.22584,19018.49395
south.africa,6170.905329,5992.027283,6084.967978,6182.793901,6231.620759,6284.86025,6273.566318,6259.839681,6209.365888,6192.8924,6199.891699,6125.735325,5659.206949,5864.820522
turkey,8451.479111,7942.031331,8491.588652,9299.137303,9586.769088,10225.71609,10549.67606,11006.27952,11187.05364,11835.26111,12006.81588,11955.43346,12038.62811,13250.65891
united.kingdom,44120.92954,41928.60985,42487.92541,42771.64112,43099.59735,43621.05923,44596.18975,45404.56777,46081.71529,46746.64189,47231.33689,47750.87966,43166.1552,46209.10517
united.states,53854.16061,51996.1835,52963.46417,53394.86184,54213.45955,54830.78407,55675.38685,56762.72945,57292.53878,58215.41163,59600.0531,60687.23226,58060.31395,61280.3896
european.union,29979.9053,28608.64691,29211.42651,29807.1297,29552.96001,29471.82574,29861.48068,30485.02881,31031.17894,31855.06792,32460.5403,33032.96401,31046.03368,32755.37941
