year,code,summit.date,host
2008,,2008-11-14,us
2009,L,2009-04-02,uk
2009,P,2009-04-02,us
2010,T,2010-06-26,canada
2010,S,2010-11-11,korea
2011,,2011-11-03,france
2012,,2012-06-18,mexico
2013,,2013-09-05,russia
2014,,2014-11-15,australia
2015,,2015-11-15,turkey
2016,,2016-09-04,china
2017,,2017-07-07,germany
2018,,2018-11-30,argentina
2019,,2019-06-28,japan
2020,,2020-11-21,saudi
2021,,2021-10-30,italy
2022,,2022-09-09,india
