country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
argentina,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.969562499,-10.81261085,9.357175859,4.273163738
australia,1.901150677,1.5135102,-0.20740929,0.628836598,0.978468035,2.10380811,0.828325558,1.060337085,0.693065823,1.13842434,0.604963408,1.348282752,0.665151145,-1.278358059,2.105711229,2.457502628
brazil,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-3.918004172,4.435352819,2.42870176
canada,1.08536734,-0.083592432,-4.028003081,1.950048334,2.141535734,0.662000651,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811278917,1.335564285,0.435426336,-6.088212049,4.409275153,1.52799048
china,13.6358205,9.090280102,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.995558042,8.350729715,3.004296763
france,1.448245262,1.700610402,-0.171161336,0.058149505,0.484564448,0.754024352,0.829056665,1.994998447,1.500539123,1.495898988,-8.034474295,6.535119983,2.281547291,-8.034474295,6.535119983,2.281547291
germany,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.678212594,0.828957962,-3.775429714,2.583557475,0.715380074
india,6.093625779,1.630780589,6.371709389,7.01317458,3.81807313,4.06082357,5.014611864,6.086180227,6.721067631,6.980989701,5.568333514,5.302408679,2.811873102,-6.72629208,8.184367716,6.277403814
indonesia,4.959048417,4.642173599,3.30690394,4.90272858,4.844905701,4.70670292,4.284778457,3.796140768,3.717745469,3.926698091,4.017625608,4.162984291,4.039135657,-2.885094093,2.985108627,4.640376802
italy,0.975922133,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.465690444,1.820333852,1.11781662,1.648503393,-8.534686345,7.582577997,4.120020347
japan,1.367422326,-1.272109949,-5.68145234,4.079223048,0.209251803,1.536786659,2.152371066,0.429381123,1.668465117,0.805362825,1.758611802,0.771168471,-0.262170829,-3.996581849,2.61337631,1.478038986
korea,5.266361146,2.23375226,0.27526898,6.274019889,2.891411994,1.865599496,2.696150961,2.556219509,2.268429401,2.539144729,2.870196962,2.462246216,1.8889146,-0.846212238,4.329207461,2.792482087
mexico,0.953870185,-0.130355618,-6.449903052,3.732851948,2.193587578,2.204898981,0.02784915,1.580820663,2.094717824,1.474053227,1.015816185,1.227050123,-1.053918176,-8.654637261,4.136372212,2.41655401
russia,8.685765482,5.246210018,-7.827749977,4.453096398,4.218723339,3.849151935,1.538973517,-1.045262038,-2.183885472,0.01024792,1.709385694,2.815524107,2.243979517,-2.461151415,5.177234865,
saudi,-2.077052713,2.232938638,-5.657418037,1.724833907,8.273244386,3.133563625,0.691065527,1.94530192,2.694521078,0.321643717,-2.3400685,0.341212854,-1.445208185,-4.79246757,4.056751496,7.374954355
safrica,4.29764521,2.028404688,-2.702155972,1.817735697,1.873318226,1.04422917,1.099461735,-0.172220609,-0.757928114,-0.309171167,0.766941613,0.285735634,-0.987175236,-7.481092762,3.870315289,1.187663214
turkey,3.750326616,-0.389113259,-6.015621981,6.990641203,9.733147454,3.252268707,6.645972547,2.876234076,4.04114037,1.571837928,6.100196757,2.085157754,-0.028123353,1.147943989,10.51288036,4.865927992
uk,1.767934814,-0.937077972,-5.230034826,1.630274045,0.280839243,0.745478658,1.140212964,2.442465801,1.584979389,1.393848825,1.749953797,1.090623956,1.032740842,-11.35567606,7.685656647,4.186941875
us,1.044930137,-0.820367899,-3.450015923,1.860291678,0.814519358,1.533102035,1.138692347,1.540380649,1.953004118,0.933375362,1.59713559,2.404867872,1.829668388,-3.700952528,5.779548418,1.676971297
eu,2.809941581,0.318577716,-4.574460008,2.081983229,2.074502522,-0.846205077,-0.32686536,1.344374165,2.084150261,1.760796025,2.677230545,1.88650516,1.723568893,-5.740846541,5.589485563,3.36084528
