country,year,p5,g7,brics,oecd,imf_economy
russia,2012,yes,yes,yes,no,emerging
saudi,2012,no,no,no,no,emerging
safrica,2012,no,no,yes,no,emerging
turkey,2012,no,no,no,yes,emerging
uk,2012,yes,yes,no,yes,advanced
us,2012,yes,yes,no,yes,advanced
eu,2012,no,yes,no,yes,advanced
argentina,2013,no,no,no,no,emerging
australia,2013,no,no,no,yes,advanced
brazil,2013,no,no,yes,no,emerging
canada,2013,no,yes,no,yes,advanced
china,2013,yes,no,yes,no,emerging
france,2013,yes,yes,no,yes,advanced
germany,2013,no,yes,no,yes,advanced
india,2013,no,no,yes,no,emerging
indonesia,2013,no,no,no,no,emerging
italy,2013,no,yes,no,yes,advanced
japan,2013,no,yes,no,yes,advanced
korea,2013,no,no,no,yes,advanced
mexico,2013,no,no,no,yes,emerging
russia,2013,yes,yes,yes,no,emerging
saudi,2013,no,no,no,no,emerging
safrica,2013,no,no,yes,no,emerging
turkey,2013,no,no,no,yes,emerging
uk,2013,yes,yes,no,yes,advanced
us,2013,yes,yes,no,yes,advanced
eu,2013,no,yes,no,yes,advanced
argentina,2014,no,no,no,no,emerging
australia,2014,no,no,no,yes,advanced
brazil,2014,no,no,yes,no,emerging
canada,2014,no,yes,no,yes,advanced
china,2014,yes,no,yes,no,emerging
france,2014,yes,yes,no,yes,advanced
germany,2014,no,yes,no,yes,advanced
india,2014,no,no,yes,no,emerging
indonesia,2014,no,no,no,no,emerging
italy,2014,no,yes,no,yes,advanced
japan,2014,no,yes,no,yes,advanced
korea,2014,no,no,no,yes,advanced
mexico,2014,no,no,no,yes,emerging
russia,2014,yes,no,yes,no,emerging
saudi,2014,no,no,no,no,emerging
safrica,2014,no,no,yes,no,emerging
turkey,2014,no,no,no,yes,emerging
uk,2014,yes,yes,no,yes,advanced
us,2014,yes,yes,no,yes,advanced
eu,2014,no,yes,no,yes,advanced
argentina,2015,no,no,no,no,emerging
australia,2015,no,no,no,yes,advanced
brazil,2015,no,no,yes,no,emerging
canada,2015,no,yes,no,yes,advanced
china,2015,yes,no,yes,no,emerging
france,2015,yes,yes,no,yes,advanced
germany,2015,no,yes,no,yes,advanced
india,2015,no,no,yes,no,emerging
indonesia,2015,no,no,no,no,emerging
italy,2015,no,yes,no,yes,advanced
japan,2015,no,yes,no,yes,advanced
korea,2015,no,no,no,yes,advanced
mexico,2015,no,no,no,yes,emerging
russia,2015,yes,no,yes,no,emerging
saudi,2015,no,no,no,no,emerging
safrica,2015,no,no,yes,no,emerging
turkey,2015,no,no,no,yes,emerging
uk,2015,yes,yes,no,yes,advanced
us,2015,yes,yes,no,yes,advanced
